month,keyword,website_hits,r_hits,difference,absolute_difference,direction
2023-01,trump,3,1,-2,2,Website higher
2023-02,election,1,0.75,-0.25,0.25,Website higher
2023-02,kamala harris,0,0.5,0.5,0.5,R higher
2023-02,trump,3,1,-2,2,Website higher
2023-03,election,2,0.5,-1.5,1.5,Website higher
2023-03,kamala harris,0,0.5,0.5,0.5,R higher
2023-03,trump,8,2.25,-5.75,5.75,Website higher
2023-04,election,2,0.7,-1.3,1.3,Website higher
2023-04,kamala harris,0,0.5,0.5,0.5,R higher
2023-04,trump,8,1.8,-6.2,6.2,Website higher
2023-05,election,2,0.75,-1.25,1.25,Website higher
2023-05,kamala harris,0,0.5,0.5,0.5,R higher
2023-05,trump,4,1.25,-2.75,2.75,Website higher
2023-06,election,1,0.5,-0.5,0.5,Website higher
2023-06,kamala harris,0,0.5,0.5,0.5,R higher
2023-06,trump,6,1.75,-4.25,4.25,Website higher
2023-07,election,1,0.5,-0.5,0.5,Website higher
2023-07,kamala harris,0,0.5,0.5,0.5,R higher
2023-07,trump,4,1.2,-2.8,2.8,Website higher
2023-08,election,1,0.625,-0.375,0.375,Website higher
2023-08,kamala harris,0,0.5,0.5,0.5,R higher
2023-08,trump,9,2.75,-6.25,6.25,Website higher
2023-09,election,1,0.5,-0.5,0.5,Website higher
2023-09,kamala harris,0,0.5,0.5,0.5,R higher
2023-09,trump,4,1.25,-2.75,2.75,Website higher
2023-10,election,2,0.8,-1.2,1.2,Website higher
2023-10,kamala harris,0,0.5,0.5,0.5,R higher
2023-10,trump,5,1.2,-3.8,3.8,Website higher
2023-11,election,5,1.75,-3.25,3.25,Website higher
2023-11,kamala harris,0,0.5,0.5,0.5,R higher
2023-11,trump,5,1.25,-3.75,3.75,Website higher
2023-12,election,1,0.6,-0.4,0.4,Website higher
2023-12,kamala harris,0,0.5,0.5,0.5,R higher
2023-12,trump,5,1.6,-3.4,3.4,Website higher
2024-01,election,2,0.75,-1.25,1.25,Website higher
2024-01,kamala harris,0,0.5,0.5,0.5,R higher
2024-01,trump,7,2.25,-4.75,4.75,Website higher
2024-02,election,2,1,-1,1,Website higher
2024-02,kamala harris,0,0.5,0.5,0.5,R higher
2024-02,trump,8,2.25,-5.75,5.75,Website higher
2024-03,election,3,1.1,-1.9,1.9,Website higher
2024-03,kamala harris,0,0.5,0.5,0.5,R higher
2024-03,trump,8,2.4,-5.6,5.6,Website higher
2024-04,election,2,0.625,-1.375,1.375,Website higher
2024-04,kamala harris,0,0.5,0.5,0.5,R higher
2024-04,trump,7,2,-5,5,Website higher
2024-05,election,2,1,-1,1,Website higher
2024-05,kamala harris,0,0.5,0.5,0.5,R higher
2024-05,trump,11,3.5,-7.5,7.5,Website higher
2024-06,election,3,1.2,-1.8,1.8,Website higher
2024-06,kamala harris,0,0.5,0.5,0.5,R higher
2024-06,trump,10,2.8,-7.2,7.2,Website higher
2024-07,election,3,1,-2,2,Website higher
2024-07,kamala harris,7,2.75,-4.25,4.25,Website higher
2024-07,trump,39,12.5,-26.5,26.5,Website higher
2024-08,election,3,1,-2,2,Website higher
2024-08,kamala harris,7,1.5,-5.5,5.5,Website higher
2024-08,trump,15,4.25,-10.75,10.75,Website higher
2024-09,election,4,1,-3,3,Website higher
2024-09,kamala harris,4,1.2,-2.8,2.8,Website higher
2024-09,trump,18,4.8,-13.2,13.2,Website higher
2024-10,election,8,2.75,-5.25,5.25,Website higher
2024-10,kamala harris,4,1.5,-2.5,2.5,Website higher
2024-10,trump,18,5.75,-12.25,12.25,Website higher
2024-11,election,100,29.25,-70.75,70.75,Website higher
2024-11,kamala harris,7,2.25,-4.75,4.75,Website higher
2024-11,trump,39,10.5,-28.5,28.5,Website higher
2024-12,election,2,0.8,-1.2,1.2,Website higher
2024-12,kamala harris,0,0.5,0.5,0.5,R higher
2024-12,trump,8,2.6,-5.4,5.4,Website higher
2025-01,election,2,0.875,-1.125,1.125,Website higher
2025-01,kamala harris,1,0.5,-0.5,0.5,Website higher
2025-01,trump,30,9.75,-20.25,20.25,Website higher
2025-02,election,2,0.875,-1.125,1.125,Website higher
2025-02,kamala harris,0,0.5,0.5,0.5,R higher
2025-02,trump,23,6.75,-16.25,16.25,Website higher
2025-03,election,2,1.1,-0.8999999999999999,0.8999999999999999,Website higher
2025-03,kamala harris,0,0.5,0.5,0.5,R higher
2025-03,trump,20,5.4,-14.6,14.6,Website higher
2025-04,election,3,0.625,-2.375,2.375,Website higher
2025-04,kamala harris,0,0.5,0.5,0.5,R higher
2025-04,trump,16,4.25,-11.75,11.75,Website higher
2025-05,election,2,0.75,-1.25,1.25,Website higher
2025-05,kamala harris,0,0.5,0.5,0.5,R higher
2025-05,trump,13,3.75,-9.25,9.25,Website higher
2025-06,election,2,0.7,-1.3,1.3,Website higher
2025-06,kamala harris,0,0.5,0.5,0.5,R higher
2025-06,trump,18,5,-13,13,Website higher
2025-07,election,1,0.625,-0.375,0.375,Website higher
2025-07,kamala harris,0,0.5,0.5,0.5,R higher
2025-07,trump,16,4.5,-11.5,11.5,Website higher
2025-08,election,1,0.5,-0.5,0.5,Website higher
2025-08,kamala harris,0,0.5,0.5,0.5,R higher
2025-08,trump,13,4,-9,9,Website higher
2025-09,election,1,0.5,-0.5,0.5,Website higher
2025-09,kamala harris,0,0.5,0.5,0.5,R higher
2025-09,trump,15,4.25,-10.75,10.75,Website higher
2025-10,election,2,1,-1,1,Website higher
2025-10,kamala harris,0,0.5,0.5,0.5,R higher
2025-10,trump,13,3.75,-9.25,9.25,Website higher
2025-11,election,9,2.5,-6.5,6.5,Website higher
2025-11,kamala harris,0,0.5,0.5,0.5,R higher
2025-11,trump,15,4.2,-10.8,10.8,Website higher
2025-12,election,2,0.625,-1.375,1.375,Website higher
2025-12,kamala harris,0,0.5,0.5,0.5,R higher
2025-12,trump,13,4,-9,9,Website higher
2026-01,election,2,1,-1,1,Website higher
2026-01,kamala harris,0,0.5,0.5,0.5,R higher
2026-01,trump,16,5,-11,11,Website higher
2026-02,election,3,1,-2,2,Website higher
2026-02,kamala harris,0,0.5,0.5,0.5,R higher
2026-02,trump,16,4.75,-11.25,11.25,Website higher
2026-03,election,3,1.2,-1.8,1.8,Website higher
2026-03,kamala harris,0,0.5,0.5,0.5,R higher
2026-03,trump,14,4.4,-9.6,9.6,Website higher
2026-04,election,3,1,-2,2,Website higher
2026-04,kamala harris,0,0.5,0.5,0.5,R higher
2026-04,trump,18,5,-13,13,Website higher
2026-05,election,4,1.4,-2.6,2.6,Website higher
2026-05,kamala harris,0,0.5,0.5,0.5,R higher
2026-05,trump,12,3.4,-8.6,8.6,Website higher
2026-06,election,4,1,-3,3,Website higher
2026-06,kamala harris,0,0.5,0.5,0.5,R higher
2026-06,trump,12,3.75,-8.25,8.25,Website higher
2026-07,election,2,1,-1,1,Website higher
2026-07,kamala harris,0,0.5,0.5,0.5,R higher
2026-07,trump,13,3.75,-9.25,9.25,Website higher
2026-08,election,3,0.8,-2.2,2.2,Website higher
2026-08,kamala harris,0,0.5,0.5,0.5,R higher
2026-08,trump,10,3,-7,7,Website higher
2026-09,election,2,0.75,-1.25,1.25,Website higher
2026-09,kamala harris,0,0.5,0.5,0.5,R higher
2026-09,trump,11,3,-8,8,Website higher
